Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Sales,Quantity,Discount,Profit,Order_Month,Order_Year,Order_Day_of_Week
81,CA-2016-127208,12-06-2016,15-06-2016,First Class,SC-20770,OFF-BI-10002309,16.74,3,0,8.0352,6,2016,6
82,CA-2014-139451,12-10-2014,16-10-2014,Standard Class,DN-13690,OFF-AR-10002053,14.9,5,0,4.172,10,2014,6
83,CA-2014-139451,12-10-2014,16-10-2014,Standard Class,DN-13690,OFF-ST-10002370,21.39,1,0,6.2031,10,2014,6
84,CA-2015-149734,03-09-2015,08-09-2015,Standard Class,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075,9,2015,3
85,US-2017-119662,13-11-2017,16-11-2017,First Class,CS-12400,OFF-ST-10003656,230.376,3,0.2,-48.9549,11,2017,0
86,CA-2017-140088,28-05-2017,30-05-2017,Second Class,PO-18865,FUR-CH-10000863,301.96,2,0,33.2156,5,2017,6
87,CA-2017-155558,26-10-2017,02-11-2017,Standard Class,PG-18895,TEC-AC-10001998,19.99,1,0,6.7966,10,2017,3
88,CA-2017-155558,26-10-2017,02-11-2017,Standard Class,PG-18895,OFF-LA-10000134,6.16,2,0,2.9568,10,2017,3
89,CA-2016-159695,05-04-2016,10-04-2016,Second Class,GM-14455,OFF-ST-10003442,158.368,7,0.2,13.8572,4,2016,1
90,CA-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,OFF-AR-10004930,20.1,3,0,6.633,9,2016,5
91,CA-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,TEC-PH-10004093,73.584,2,0.2,8.2782,9,2016,5
92,CA-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,OFF-PA-10000304,6.48,1,0,3.1104,9,2016,5
93,CA-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,OFF-PA-10003177,12.96,2,0,6.2208,1,2015,5
94,CA-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,FUR-FU-10003799,53.34,3,0,16.5354,1,2015,5
95,CA-2015-149587,31-01-2015,05-02-2015,Second Class,KB-16315,OFF-BI-10002852,32.96,2,0,16.1504,1,2015,5
96,US-2017-109484,06-11-2017,12-11-2017,Standard Class,RB-19705,OFF-BI-10004738,5.682,1,0.7,-3.788,11,2017,0
97,CA-2017-161018,09-11-2017,11-11-2017,Second Class,PN-18775,FUR-FU-10000629,96.53,7,0,40.5426,11,2017,3
98,CA-2017-157833,17-06-2017,20-06-2017,First Class,KD-16345,OFF-BI-10001721,51.312,3,0.2,17.9592,6,2017,5
99,CA-2016-149223,06-09-2016,11-09-2016,Standard Class,ER-13855,OFF-AP-10000358,77.88,6,0,22.5852,9,2016,1
100,CA-2016-158568,29-08-2016,02-09-2016,Standard Class,RB-19465,OFF-PA-10003256,64.624,7,0.2,22.6184,8,2016,0
101,CA-2016-158568,29-08-2016,02-09-2016,Standard Class,RB-19465,TEC-AC-10001767,95.976,3,0.2,-10.7973,8,2016,0
102,CA-2016-158568,29-08-2016,02-09-2016,Standard Class,RB-19465,OFF-BI-10002609,1.788,3,0.8,-3.0396,8,2016,0
103,CA-2016-129903,01-12-2016,04-12-2016,Second Class,GZ-14470,OFF-PA-10004040,23.92,4,0,11.7208,12,2016,3
104,US-2015-156867,13-11-2015,17-11-2015,Standard Class,LC-16870,TEC-AC-10001552,238.896,6,0.2,-26.8758,11,2015,4
105,US-2015-156867,13-11-2015,17-11-2015,Standard Class,LC-16870,FUR-FU-10004006,102.36,3,0.2,-3.8385,11,2015,4
106,US-2015-156867,13-11-2015,17-11-2015,Standard Class,LC-16870,OFF-BI-10002794,36.882,3,0.7,-25.8174,11,2015,4
107,CA-2017-119004,23-11-2017,28-11-2017,Standard Class,JM-15250,TEC-AC-10003499,74.112,8,0.2,17.6016,11,2017,3
108,CA-2017-119004,23-11-2017,28-11-2017,Standard Class,JM-15250,TEC-PH-10002844,27.992,1,0.2,2.0994,11,2017,3
109,CA-2017-119004,23-11-2017,28-11-2017,Standard Class,JM-15250,OFF-AR-10000390,3.304,1,0.2,1.0738,11,2017,3
110,CA-2015-129476,15-10-2015,20-10-2015,Standard Class,PA-19060,TEC-AC-10000844,339.96,5,0.2,67.992,10,2015,3
111,CA-2017-146780,25-12-2017,30-12-2017,Standard Class,CV-12805,FUR-FU-10001934,41.96,2,0,10.9096,12,2017,0
112,CA-2016-128867,03-11-2016,10-11-2016,Standard Class,CL-12565,OFF-AR-10000380,75.96,2,0,22.788,11,2016,3
113,CA-2016-128867,03-11-2016,10-11-2016,Standard Class,CL-12565,OFF-BI-10003981,27.24,6,0,13.3476,11,2016,3
114,CA-2014-115259,25-08-2014,27-08-2014,Second Class,RC-19960,OFF-FA-10000621,40.096,14,0.2,14.5348,8,2014,0
115,CA-2014-115259,25-08-2014,27-08-2014,Second Class,RC-19960,OFF-EN-10002600,4.72,2,0.2,1.652,8,2014,0
116,CA-2014-115259,25-08-2014,27-08-2014,Second Class,RC-19960,OFF-PA-10004965,23.976,3,0.2,7.4925,8,2014,0
117,CA-2014-115259,25-08-2014,27-08-2014,Second Class,RC-19960,OFF-EN-10002504,130.464,6,0.2,44.0316,8,2014,0
118,CA-2015-110457,02-03-2015,06-03-2015,Standard Class,DK-13090,FUR-TA-10001768,787.53,3,0,165.3813,3,2015,0
119,US-2015-136476,05-04-2015,10-04-2015,Standard Class,GG-14650,OFF-BI-10003650,157.794,1,0.7,-115.7156,4,2015,6
120,CA-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,FUR-FU-10002157,47.04,3,0,18.3456,6,2016,6
121,CA-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,OFF-BI-10003910,30.84,4,0,13.878,6,2016,6
122,CA-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,OFF-ST-10000777,226.56,6,0,63.4368,6,2016,6
123,CA-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,OFF-EN-10002500,115.02,9,0,51.759,6,2016,6
124,CA-2016-103730,12-06-2016,15-06-2016,First Class,SC-20725,TEC-PH-10003875,68.04,7,0,19.7316,6,2016,6
125,US-2014-152030,26-12-2014,28-12-2014,Second Class,AD-10180,FUR-CH-10004063,600.558,3,0.3,-8.5794,12,2014,4
126,US-2014-134614,20-09-2014,25-09-2014,Standard Class,PF-19165,FUR-TA-10004534,617.7,6,0.5,-407.682,9,2014,5
127,US-2017-107272,05-11-2017,12-11-2017,Standard Class,TS-21610,OFF-BI-10003274,2.388,2,0.7,-1.8308,11,2017,6
128,US-2017-107272,05-11-2017,12-11-2017,Standard Class,TS-21610,OFF-ST-10002974,243.992,7,0.2,30.499,11,2017,6
129,US-2016-125969,06-11-2016,10-11-2016,Second Class,LS-16975,FUR-CH-10001146,81.424,2,0.2,-9.1602,11,2016,6
130,US-2016-125969,06-11-2016,10-11-2016,Second Class,LS-16975,FUR-FU-10003773,238.56,3,0,26.2416,11,2016,6
131,US-2017-164147,02-02-2017,05-02-2017,First Class,DW-13585,TEC-PH-10002293,59.97,5,0.4,-11.994,2,2017,3
132,US-2017-164147,02-02-2017,05-02-2017,First Class,DW-13585,OFF-PA-10002377,78.304,2,0.2,29.364,2,2017,3
133,US-2017-164147,02-02-2017,05-02-2017,First Class,DW-13585,OFF-FA-10002780,21.456,9,0.2,6.9732,2,2017,3
134,CA-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-PA-10001804,20.04,3,0,9.6192,10,2016,3
135,CA-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-PA-10001736,35.44,1,0,16.6568,10,2016,3
136,CA-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-AR-10001149,11.52,4,0,3.456,10,2016,3
137,CA-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-FA-10002988,4.02,2,0,1.9698,10,2016,3
138,CA-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-BI-10004781,76.176,3,0.2,26.6616,10,2016,3
139,CA-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,OFF-SU-10001218,65.88,6,0,18.4464,10,2016,3
140,CA-2016-145583,13-10-2016,19-10-2016,Standard Class,LC-16885,FUR-FU-10001706,43.12,14,0,20.6976,10,2016,3
141,CA-2016-110366,05-09-2016,07-09-2016,Second Class,JD-15895,FUR-FU-10004848,82.8,2,0.2,10.35,9,2016,0
142,CA-2017-106180,18-09-2017,23-09-2017,Standard Class,SH-19975,OFF-AR-10000940,8.82,3,0,2.3814,9,2017,0
143,CA-2017-106180,18-09-2017,23-09-2017,Standard Class,SH-19975,OFF-EN-10004030,10.86,3,0,5.1042,9,2017,0
144,CA-2017-106180,18-09-2017,23-09-2017,Standard Class,SH-19975,OFF-PA-10004327,143.7,3,0,68.976,9,2017,0
145,CA-2017-155376,22-12-2017,27-12-2017,Standard Class,SG-20080,OFF-AP-10001058,839.43,3,0,218.2518,12,2017,4
146,CA-2015-110744,07-09-2015,12-09-2015,Standard Class,HA-14920,OFF-ST-10003656,671.93,7,0,20.1579,9,2015,0
147,CA-2014-110072,22-10-2014,28-10-2014,Standard Class,MG-17680,FUR-FU-10000521,93.888,4,0.2,12.9096,10,2014,2
148,CA-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,TEC-PH-10000215,384.45,11,0,103.8015,12,2016,0
149,CA-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,TEC-PH-10001448,149.97,3,0,5.9988,12,2016,0
150,CA-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,FUR-CH-10000454,1951.84,8,0,585.552,12,2016,0
151,CA-2016-114489,05-12-2016,09-12-2016,Standard Class,JE-16165,OFF-BI-10002735,171.55,5,0,80.6285,12,2016,0
152,CA-2016-158834,13-03-2016,16-03-2016,First Class,TW-21025,OFF-AP-10000326,157.92,5,0.2,17.766,3,2016,6
153,CA-2016-158834,13-03-2016,16-03-2016,First Class,TW-21025,TEC-PH-10001254,203.184,2,0.2,15.2388,3,2016,6
154,CA-2015-124919,31-05-2015,02-06-2015,First Class,SP-20650,OFF-PA-10001950,58.38,7,0,26.271,5,2015,6
155,CA-2015-124919,31-05-2015,02-06-2015,First Class,SP-20650,OFF-PA-10002254,105.52,4,0,48.5392,5,2015,6
156,CA-2015-124919,31-05-2015,02-06-2015,First Class,SP-20650,OFF-ST-10001590,80.88,6,0,21.0288,5,2015,6
157,CA-2015-118948,28-05-2015,03-06-2015,Standard Class,NK-18490,OFF-AR-10001547,6.63,3,0,1.7901,5,2015,3
158,CA-2014-104269,01-03-2014,06-03-2014,Second Class,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764,3,2014,5
159,CA-2016-114104,20-11-2016,24-11-2016,Standard Class,NP-18670,OFF-LA-10002475,14.62,2,0,6.8714,11,2016,6
160,CA-2016-114104,20-11-2016,24-11-2016,Standard Class,NP-18670,TEC-PH-10004536,944.93,7,0,236.2325,11,2016,6
161,CA-2016-162733,11-05-2016,12-05-2016,First Class,TT-21070,OFF-PA-10002751,5.98,1,0,2.691,5,2016,2
162,CA-2015-119697,28-12-2015,31-12-2015,Second Class,EM-13960,TEC-AC-10003657,54.384,2,0.2,1.3596,12,2015,0
163,CA-2016-154508,16-11-2016,20-11-2016,Standard Class,RD-19900,OFF-EN-10001990,28.4,5,0,13.348,11,2016,2
164,CA-2016-113817,07-11-2016,11-11-2016,Standard Class,MJ-17740,OFF-BI-10004002,27.68,2,0.2,9.688,11,2016,0
165,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,OFF-AR-10004441,9.936,3,0.2,2.7324,9,2014,0
166,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992,9,2014,0
167,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,OFF-ST-10000991,275.928,3,0.2,-58.6347,9,2014,0
168,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,FUR-CH-10004287,1740.06,9,0.3,-24.858,9,2014,0
169,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,OFF-AR-10002656,32.064,6,0.2,6.8136,9,2014,0
170,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,OFF-AP-10002518,177.98,5,0.8,-453.849,9,2014,0
171,CA-2014-139892,08-09-2014,12-09-2014,Standard Class,BM-11140,TEC-PH-10003931,143.976,3,0.2,8.9985,9,2014,0
172,CA-2014-118962,05-08-2014,09-08-2014,Standard Class,CS-12130,OFF-PA-10000659,20.94,3,0,9.8418,8,2014,1
173,CA-2014-118962,05-08-2014,09-08-2014,Standard Class,CS-12130,OFF-PA-10001144,110.96,2,0,53.2608,8,2014,1
174,CA-2014-118962,05-08-2014,09-08-2014,Standard Class,CS-12130,FUR-CH-10003817,340.144,7,0.2,21.259,8,2014,1
175,US-2014-100853,14-09-2014,19-09-2014,Standard Class,JB-15400,OFF-AP-10000891,52.448,2,0.8,-131.12,9,2014,6
176,US-2014-100853,14-09-2014,19-09-2014,Standard Class,JB-15400,OFF-LA-10003148,20.16,4,0.2,6.552,9,2014,6
177,US-2017-152366,21-04-2017,25-04-2017,Second Class,SJ-20500,OFF-AP-10002684,97.264,4,0.8,-243.16,4,2017,4
178,US-2015-101511,21-11-2015,23-11-2015,Second Class,JE-15745,FUR-CH-10004698,396.802,7,0.3,-11.3372,11,2015,5
179,US-2015-101511,21-11-2015,23-11-2015,Second Class,JE-15745,OFF-SU-10002189,15.88,5,0.2,-3.7715,11,2015,5
180,CA-2015-137225,15-12-2015,19-12-2015,Standard Class,JK-15640,OFF-AR-10001940,3.28,1,0,1.4104,12,2015,1
181,CA-2014-166191,05-12-2014,09-12-2014,Second Class,DK-13150,OFF-ST-10003455,24.816,2,0.2,1.8612,12,2014,4
182,CA-2014-166191,05-12-2014,09-12-2014,Second Class,DK-13150,TEC-AC-10004659,408.744,7,0.2,76.6395,12,2014,4
183,CA-2014-158274,19-11-2014,24-11-2014,Second Class,RM-19675,TEC-PH-10003273,503.96,4,0,131.0296,11,2014,2
184,CA-2014-158274,19-11-2014,24-11-2014,Second Class,RM-19675,TEC-PH-10004896,149.95,5,0,41.986,11,2014,2
185,CA-2014-158274,19-11-2014,24-11-2014,Second Class,RM-19675,TEC-AC-10002345,29,2,0,7.25,11,2014,2
186,CA-2016-105018,28-11-2016,02-12-2016,Standard Class,SK-19990,OFF-BI-10001890,7.16,2,0,3.4368,11,2016,0
187,CA-2014-123260,26-08-2014,30-08-2014,Standard Class,FM-14290,TEC-AC-10002323,176.8,8,0,22.984,8,2014,1
188,CA-2016-157000,16-07-2016,22-07-2016,Standard Class,AM-10360,OFF-ST-10001328,37.224,3,0.2,3.7224,7,2016,5
189,CA-2016-157000,16-07-2016,22-07-2016,Standard Class,AM-10360,OFF-PA-10001950,20.016,3,0.2,6.255,7,2016,5
190,CA-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,FUR-BO-10002613,899.136,4,0.2,112.392,10,2015,0
191,CA-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,TEC-PH-10001552,71.76,6,0,20.0928,10,2015,0
192,CA-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,OFF-PA-10000061,51.84,8,0,24.8832,10,2015,0
193,CA-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,FUR-BO-10002545,626.352,3,0.2,46.9764,10,2015,0
194,CA-2015-102281,12-10-2015,14-10-2015,First Class,MP-17470,OFF-AR-10003514,19.9,5,0,6.567,10,2015,0
195,CA-2015-131457,31-10-2015,06-11-2015,Standard Class,MZ-17515,OFF-EN-10001509,14.28,7,0,6.7116,10,2015,5
196,CA-2014-140004,21-03-2014,25-03-2014,Standard Class,CB-12025,OFF-AR-10004685,7.408,2,0.2,1.2038,3,2014,4
197,CA-2014-140004,21-03-2014,25-03-2014,Standard Class,CB-12025,OFF-AR-10004027,6.048,3,0.2,1.5876,3,2014,4
198,CA-2017-107720,06-11-2017,13-11-2017,Standard Class,VM-21685,OFF-ST-10001414,46.26,3,0,12.0276,11,2017,0
199,US-2017-124303,06-07-2017,13-07-2017,Standard Class,FH-14365,OFF-BI-10000343,2.946,2,0.7,-2.2586,7,2017,3
200,US-2017-124303,06-07-2017,13-07-2017,Standard Class,FH-14365,OFF-PA-10002749,16.056,3,0.2,5.8203,7,2017,3
201,CA-2017-105074,24-06-2017,29-06-2017,Standard Class,MB-17305,OFF-PA-10002666,21.744,3,0.2,6.795,6,2017,5
202,CA-2014-133690,03-08-2014,05-08-2014,First Class,BS-11755,FUR-TA-10004289,218.75,2,0.5,-161.875,8,2014,6
